,index,0,1,2,3,4,5,6,7
0,29,14.49,14.61,0.8538,5.715,3.113,4.116,5.396,M
1,19,11.24,13.0,0.8359,5.09,2.715,3.521,5.088,L
2,135,12.15,13.45,0.8443,5.417,2.837,3.638,5.338,L
3,139,19.94,16.92,0.8752,6.675,3.763,3.252,6.55,F
4,66,11.87,13.02,0.8795,5.132,2.953,3.597,5.132,L
5,65,15.69,14.75,0.9058,5.527,3.514,1.599,5.046,M
6,5,16.63,15.46,0.8747,6.053,3.465,2.04,5.877,M
7,146,19.11,16.26,0.9081,6.154,3.93,2.936,6.079,F
8,56,13.84,13.94,0.8955,5.324,3.379,2.259,4.805,M
9,97,11.19,13.05,0.8253,5.25,2.675,5.813,5.219,L
10,128,14.29,14.09,0.905,5.291,3.337,2.699,4.825,M
11,79,21.18,17.21,0.8989,6.573,4.033,5.78,6.231,F
12,205,10.79,12.93,0.8107,5.317,2.648,5.462,5.194,L
13,208,12.76,13.38,0.8964,5.073,3.155,2.828,4.83,L
14,31,11.21,13.13,0.8167,5.279,2.687,6.169,5.275,L
15,12,13.8,14.04,0.8794,5.376,3.155,1.56,4.961,M
16,35,16.82,15.51,0.8786,6.017,3.486,4.004,5.841,F
17,28,12.22,13.32,0.8652,5.224,2.967,5.469,5.221,L
18,42,19.38,16.72,0.8716,6.303,3.791,3.678,5.965,F
19,115,11.56,13.31,0.8198,5.363,2.683,4.062,5.182,L
20,98,15.99,14.89,0.9064,5.363,3.582,3.336,5.144,F
21,143,11.42,12.86,0.8683,5.008,2.85,2.7,4.607,M
22,51,18.72,16.34,0.881,6.219,3.684,2.188,6.097,F
23,118,15.26,14.84,0.871,5.763,3.312,2.221,5.22,M
24,170,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,L
25,76,13.99,13.83,0.9183,5.119,3.383,5.234,4.781,M
26,41,18.59,16.05,0.9066,6.037,3.86,6.001,5.877,F
27,203,15.01,14.76,0.8657,5.789,3.245,1.791,5.001,M
28,78,11.02,13.0,0.8189,5.325,2.701,6.735,5.163,L
29,124,13.34,13.95,0.862,5.389,3.074,5.995,5.307,L
30,26,15.05,14.68,0.8779,5.712,3.328,2.129,5.36,M
31,140,10.8,12.57,0.859,4.981,2.821,4.773,5.063,L
32,178,11.14,12.79,0.8558,5.011,2.794,6.388,5.049,L
33,122,14.79,14.52,0.8819,5.545,3.291,2.704,5.111,M
34,2,14.11,14.26,0.8722,5.52,3.168,2.688,5.219,M
35,77,12.36,13.19,0.8923,5.076,3.042,3.22,4.605,M
36,46,12.74,13.67,0.8564,5.395,2.956,2.504,4.869,M
37,127,18.98,16.66,0.859,6.549,3.67,3.691,6.498,F
38,112,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,M
39,90,12.01,13.52,0.8249,5.405,2.776,6.992,5.27,L
40,85,18.96,16.2,0.9077,6.051,3.897,4.334,5.75,F
41,141,14.01,14.29,0.8625,5.609,3.158,2.217,5.132,M
42,36,11.18,13.04,0.8266,5.22,2.693,3.332,5.001,L
43,119,18.72,16.19,0.8977,6.006,3.857,5.324,5.879,F
44,61,13.45,14.02,0.8604,5.516,3.065,3.531,5.097,M
45,22,11.18,12.72,0.868,5.009,2.81,4.051,4.828,L
46,138,13.89,14.02,0.888,5.439,3.199,3.986,4.738,M
47,111,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,M
48,33,17.36,15.76,0.8785,6.145,3.574,3.526,5.971,F
49,11,11.36,13.05,0.8382,5.175,2.755,4.048,5.263,L
50,204,17.63,15.86,0.88,6.033,3.573,3.747,5.929,F
51,167,16.17,15.38,0.8588,5.762,3.387,4.286,5.703,F
52,6,19.18,16.63,0.8717,6.369,3.681,3.357,6.229,F
53,27,19.13,16.31,0.9035,6.183,3.902,2.109,5.924,F
54,171,17.26,15.73,0.8763,5.978,3.594,4.539,5.791,F
55,201,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,L
56,144,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,L
